;Счет № 339/1;;;;;;;;Стр. 1 / 2
;XS358.02Белый;Створка оконная 77 мм (ProWin);;;;"(45°;45°) 608,0мм.";;Горизонтальн.;2;339 / 1
;XS358.02Белый;Створка оконная 77 мм (ProWin);;;;"(45°;45°) 1236,0мм.";;Вертикальн.;4;339 / 2
;XS358.02Белый;Створка оконная 77 мм (ProWin);;;;"(45°;45°) 508,0мм.";;Горизонтальн.;4;339 / 2
;XS358.02Белый;Створка оконная 77 мм (ProWin);;;;"(45°;45°) 1386,0мм.";;Вертикальн.;6;339 / 3
;XS358.02Белый;Створка оконная 77 мм (ProWin);;;;"(45°;45°) 708,0мм.";;Горизонтальн.;6;339 / 3
;XS358.02Белый;Створка оконная 77 мм (ProWin);;;;"(45°;45°) 1436,0мм.";;Вертикальн.;2;339 / 4
;XS358.02Белый;Створка оконная 77 мм (ProWin);;;;"(45°;45°) 680,0мм.";;Горизонтальн.;2;339 / 4
;XS358.02Белый;Створка оконная 77 мм (ProWin);;;;"(45°;45°) 1986,0мм.";;Вертикальн.;2;339 / 5
;XS358.02Белый;Створка оконная 77 мм (ProWin);;;;"(45°;45°) 736,0мм.";;Горизонтальн.;2;339 / 5
;;;;;;;;;;;СуперОкна 7СуперОкна 7
;Счет № 339/1;;;;;;;;Стр. 2 / 2
;Артикул;;;Название;;Размер;;Ориент.;Кол-во;Заказ / изделие
;XS358.03Белый;Импост 82 мм (ProWin);;;;"(90°;90°) 1315,0мм.";;Вертикальн.;1;339 / 1
;XS358.03Белый;Импост 82 мм (ProWin);;;;"(90°;90°) 1215,0мм.";;Вертикальн.;2;339 / 2
;XS358.03Белый;Импост 82 мм (ProWin);;;;"(90°;90°) 1365,0мм.";;Вертикальн.;3;339 / 3
;XS358.03Белый;Импост 82 мм (ProWin);;;;"(90°;90°) 1415,0мм.";;Вертикальн.;2;339 / 4
;XS358.03Белый;Импост 82 мм (ProWin);;;;"(90°;90°) 617,0мм.";;Горизонтальн.;1;339 / 5
;;;;;;;;;;;СуперОкна 7
